timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674383756569,2227,https://angobackend.nitishgarg.org/user/login,200,OK,Performance Test & Load Testing 1-1,text,true,,952,1372,1,1,https://angobackend.nitishgarg.org/user/login,2216,0,1554
1674383758802,207,https://angobackend.nitishgarg.org/api/uid-token?uid=q7gY83eEC0Pw8UzHpyH8tWVuu3q2,500,Internal Server Error,Performance Test & Load Testing 1-1,text,false,,365,505,1,1,https://angobackend.nitishgarg.org/api/uid-token,207,0,0
1674383756417,2434,Login,,"Number of samples in transaction : 2, number of failing samples : 1",Performance Test & Load Testing 1-1,,false,,1317,1877,1,1,null,2423,158,1554
1674383759014,780,https://angobackend.nitishgarg.org/api/all-category,200,OK,Performance Test & Load Testing 1-1,text,true,,20757,361,1,1,https://angobackend.nitishgarg.org/api/all-category,778,0,0
1674383759798,469,https://angobackend.nitishgarg.org/api/file-upload/file,500,Internal Server Error,Performance Test & Load Testing 1-1,text,false,,1079,1438,1,1,https://angobackend.nitishgarg.org/api/file-upload/file,468,0,0
1674383763070,1298,https://angobackend.nitishgarg.org/user/login,200,OK,Performance Test & Load Testing 1-2,text,true,,952,1372,2,2,https://angobackend.nitishgarg.org/user/login,1298,0,662
1674383764370,208,https://angobackend.nitishgarg.org/api/uid-token?uid=q7gY83eEC0Pw8UzHpyH8tWVuu3q2,500,Internal Server Error,Performance Test & Load Testing 1-2,text,false,,365,505,2,2,https://angobackend.nitishgarg.org/api/uid-token,208,0,0
1674383763067,1506,Login,,"Number of samples in transaction : 2, number of failing samples : 1",Performance Test & Load Testing 1-2,,false,,1317,1877,2,2,null,1506,6,662
1674383764580,789,https://angobackend.nitishgarg.org/api/all-category,200,OK,Performance Test & Load Testing 1-2,text,true,,20757,361,2,2,https://angobackend.nitishgarg.org/api/all-category,787,0,0
1674383765371,472,https://angobackend.nitishgarg.org/api/file-upload/file,500,Internal Server Error,Performance Test & Load Testing 1-2,text,false,,1079,1438,2,2,https://angobackend.nitishgarg.org/api/file-upload/file,472,0,0
1674383766286,639,https://angobackend.nitishgarg.org/api/63cd047347a55ce7481b5df0,200,OK,Performance Test & Load Testing 1-1,text,true,,583,1380,2,2,https://angobackend.nitishgarg.org/api/63cd047347a55ce7481b5df0,639,0,0
1674383766926,576,https://angobackend.nitishgarg.org/api/all-category,304,Not Modified,Performance Test & Load Testing 1-1,,true,,220,414,2,2,https://angobackend.nitishgarg.org/api/all-category,0,0,0
1674383767504,391,https://angobackend.nitishgarg.org/api/all-category,304,Not Modified,Performance Test & Load Testing 1-1,,true,,220,414,2,2,https://angobackend.nitishgarg.org/api/all-category,0,0,0
1674383769735,1300,https://angobackend.nitishgarg.org/user/login,200,OK,Performance Test & Load Testing 1-3,text,true,,952,1372,3,3,https://angobackend.nitishgarg.org/user/login,1300,0,659
